Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
REPSA,A11,1,G,58.1,-14.93,40.57,4.19,4.61,5.42,6.31,7.02,7.81,8.5,8.81,8.95,9.7,12.34,17.23,23.78,29.04,31.85,32.99,32.63,30.64,28.18,26.55,25.67,24.15,22.32,21.67,20.11,17.17,14.53,11.4,11.84,20.31,36.56
REPSA,A11,1,G,59.81,-16.12,42,4.49,4.92,5.74,6.62,7.36,8.2,8.94,9.25,9.38,10.16,13.07,18.57,25.84,31.53,34.45,35.49,34.93,32.73,30.03,28.24,27.2,25.53,23.56,22.87,21,17.57,14.8,11.56,12.12,21.62,39.29
REPSA,A11,1,G,60.04,-16.94,43.15,4.61,5.08,5.87,6.57,7.12,7.93,8.65,8.89,9.03,9.85,12.81,18.6,26.27,32.17,35.1,36.06,35.41,33.09,30.27,28.34,27.21,25.52,23.48,22.73,20.56,16.83,14.12,10.88,11.49,21.45,39.74
REPSA,A11,1,G,56.3,-11.92,40.09,4.4,4.47,4.87,5.67,6.57,7.3,7.78,8.07,8.2,8.62,10.43,14.34,20.38,25.8,29.15,30.68,30.66,29.09,26.99,25.62,24.88,23.45,21.73,21.12,19.65,16.84,14.31,11.41,11.9,20.04,35.66
REPSA,A11,1,G,57.38,-14.49,40.95,4.42,4.7,5.29,6.03,6.69,7.38,7.97,8.27,8.4,9.02,11.43,16.21,22.79,28.14,31.01,32.15,31.8,29.94,27.57,26.02,25.18,23.6,21.73,21.07,19.63,16.76,13.96,10.78,11.23,19.6,35.28
REPSA,A11,1,G,57.02,-14.06,40.83,4.35,4.43,4.88,5.76,6.66,7.4,7.92,8.2,8.31,8.8,10.75,14.97,21.51,27.38,30.79,32.2,31.88,29.84,27.32,25.68,24.77,23.22,21.41,20.74,19.1,16.15,13.68,10.89,11.41,19.77,36.42
REPSA,A11,1,G,53.31,-16.67,38.35,4.09,4.27,4.7,5.23,5.7,6.28,6.78,6.96,7.06,7.58,9.62,13.77,19.77,24.68,27.18,28.04,27.39,25.11,22.51,20.86,19.97,18.52,16.85,16.25,14.86,12.38,10.33,8.17,8.72,15.66,30.52
REPSA,A11,1,G,57.72,-15.75,41.49,4.54,4.84,5.45,6.13,6.69,7.37,7.93,8.2,8.32,8.95,11.42,16.4,23.37,28.97,31.91,32.99,32.49,30.37,27.73,26.01,25.06,23.37,21.39,20.67,19.04,15.97,13.24,10.23,10.73,19.28,35.88
REPSA,A11,1,G,56.91,-15.06,40.89,4.49,4.78,5.27,5.88,6.51,7.21,7.76,8.01,8.14,8.71,11,15.59,22.17,27.69,30.77,32,31.6,29.53,26.95,25.28,24.35,22.74,20.89,20.21,18.65,15.74,13.14,10.23,10.79,19.03,34.82
REPSA,A11,1,G,55.66,-14.63,40.13,4.5,4.69,5.09,5.66,6.23,6.85,7.36,7.61,7.72,8.26,10.32,14.58,20.85,26.24,29.24,30.44,30.08,28.11,25.64,24.06,23.19,21.63,19.8,19.14,17.72,14.99,12.47,9.72,10.19,18.03,33.81
REPSA,A29,1,G,60.14,-17.44,43.68,5.11,5.77,6.37,6.69,6.99,7.74,8.38,8.64,8.88,9.66,12.61,18.5,26.39,32.45,35.43,36.46,35.77,33.35,30.36,28.33,27.2,25.33,23.13,22.33,20.38,16.77,13.76,10.42,11.03,21.04,40.3
REPSA,A29,1,G,54.49,-16.09,39.23,4.59,4.91,5.35,5.72,6.03,6.51,6.97,7.13,7.24,7.76,9.77,14.07,20.39,25.63,28.38,29.42,28.89,26.68,24.03,22.32,21.39,19.82,18,17.36,15.84,13.06,10.82,8.52,9.04,16.66,33.27
REPSA,A29,1,G,52.09,-16.79,38.09,4.54,4.68,4.95,5.25,5.5,5.87,6.19,6.3,6.39,6.74,8.25,11.88,17.92,23.34,26.31,27.44,26.81,24.33,21.45,19.65,18.69,17.12,15.33,14.71,13.38,10.97,9.05,7.27,7.77,14.31,30.67
REPSA,A29,1,G,53.1,-15.86,38.41,4.6,4.85,5.19,5.5,5.77,6.18,6.55,6.68,6.78,7.2,8.88,12.7,18.75,24.07,26.98,28.11,27.6,25.35,22.68,20.96,20.05,18.48,16.69,16.04,14.64,12.07,9.98,7.93,8.43,15.41,31.74
REPSA,A29,1,G,54.05,-17.32,39.23,4.81,5.12,5.42,5.62,5.82,6.31,6.73,6.86,7.01,7.51,9.48,13.79,20.23,25.6,28.36,29.31,28.62,26.16,23.3,21.46,20.45,18.85,17.04,16.39,14.81,12.05,9.98,7.87,8.43,15.93,32.92
