RipeningStage,Tree,Germination,GerminationTime,Moisture,Ashes,Protein,Fat,Fiber,Carbohydrates,TotalPolyphenols,PolyphenolConcentration,AntioxidantActivity,Absorbance,TotalCarotenoids
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
G,A29,0.2,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736666667,11.35
